,KEGG,PUBCHEM,HMDB,Blank_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Blank_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h
nicotinamide riboside,C03150,439924,HMDB00855,,,,,,,2641688,2094724,3323597,3739636,382231,1657236,2656680,2404376,2743022,4056649,1004491,1487470,1146496,982153,3022233,7648423,6913362,8596393,8901978,7419607,6695538,6785265,8502539,7317277,5715940,,,,,,,4159841,2734409,3850647,5165990,589758,1988351,2946908,2868655,2121965,4509873,,493678,477346,481923,421144,9216380,10437114,10664153,10144533,8566122,7754536,5540093,7330644,6637149,5490244
nicotinate ribonucleoside,C05841,161234,HMDB06809,,,,,,,,,,,,,,,,,,,,,,4231781,2334743,5038180,4734686,2093980,3709830,2269425,5289491,4033917,2609878,,,,,,,,,,,,,,,,,,,,,,5364325,3064896,6054650,5494413,4509724,5735223,2535284,6417294,5486772,3822604
ornithine,C00077,6262,HMDB03374,2341815,2117651,2415263,2069171,2338161,2376069,2812735,2553019,1900415,2306256,2040241,99575760,114340960,103778360,124016192,191144288,84805528,155833312,123765928,99290128,185781904,102775856,150946864,148020608,166381552,190986800,92052048,153247872,153860688,132486408,268183456,2512813,8293947,12988144,8486291,11392022,10351922,1911306,2471951,1567482,2210781,2176370,110307128,163270208,116055424,131658568,212249440,10079120,172566928,148842192,265295920,253244432,186153952,208400064,177712288,197012368,271673920,156808288,191468448,186616432,169634768,253451328
orotate,C00295,967,HMDB00226,,5723281,6898222,5721991,6307027,4451345,8041840,8173816,9733173,6733395,5188024,3482504,3783915,3991170,2650837,3855168,5493211,7787560,7949384,5756038,5228135,61183792,62868060,62696024,61846308,34625084,52666980,58575536,50153392,52572184,47773908,,30348922,31922934,28677456,26416530,33796712,10527240,8621463,10660199,7934726,6714194,4705088,4627892,4848781,3992813,4492832,32812956,25746258,24263408,25799564,23707520,87840856,79053984,77476384,67731232,51225960,70863880,67801328,90187824,63069152,77651840
p-cresol sulfate,,4615423,HMDB11635,,,,,,,,,,,,161765,179914,245715,226757,175578,183473,223226,185168,495123,152704,366197,235960,258564,229917,194317,216208,179507,474643,430068,304900,,,,,,133502,,,,,,214687,178002,278509,741804,440195,,213232,220162,956783,143632,806954,255955,336849,696452,310754,297530,182002,488208,278003,168385
p-toluic acid,C01454,7470,HMDB29635,562933,565374,523593,745197,556190,592989,438854,628076,576228,522772,628492,687972,464252,664492,429684,702776,551726,273911,567608,629238,402719,768582,882770,827330,1001996,465200,564668,888349,634129,846320,788161,547038,374481,486516,534459,273013,750767,660254,665146,571680,851124,750019,785240,914607,673102,935243,552051,496314,932874,612391,790873,769667,959085,704015,814826,457986,611476,840404,782018,748869,1139731,940696
palmitoyl sphingomyelin (d18:1/16:0),,9939941,,,,,,,,,,,,,156769,276404,430891,375913,245066,,301902,300261,549221,,386760,234345,234379,352030,337568,254329,192417,724957,531504,433133,,,,,119708,,,,,,,155711,259341,470849,1040636,607498,,219186,335229,966000,,899752,296680,449853,875839,428519,334937,432528,385851,421011,
pantothenate,C00864,6613,HMDB00210,4609197,4148066,5088272,4422395,4930148,4566866,3896364,4560426,4032778,3835028,3923074,9395097,7946900,9751389,9464065,8072726,9413644,9445182,8659276,11270783,8028293,10968559,7542839,8895605,8886414,7584754,9237355,7486523,10468370,9954001,7779435,4647994,4385745,4939876,4709855,4639955,4448551,3634683,4696534,3487661,4478498,4185296,9823860,8994024,9143954,13248638,9664172,4405360,9162352,9365225,13902207,7839923,12593505,8233228,9171893,11640528,7634004,10188361,7921317,9805490,9254267,7101013
phenol red,C12600,4766,,4471031,4207562,4725583,4590320,4401964,4789771,4638767,4493209,4787861,4385934,4305695,5122922,4820904,5885120,5377736,5598259,5266128,5601447,5285829,6681700,5307878,6342225,5139146,5345675,5010446,5431462,4840759,5180060,6191897,6088154,5587731,4385642,4224422,4630107,4499171,4647514,4203294,4275012,4842161,4040105,4715685,4527010,5404314,5294237,5515117,8079325,6501652,4286951,5428349,4771795,9136549,4689899,8229599,5584232,5601314,7493343,5026669,5874681,4819594,6566413,5470401,4780852
phenol sulfate,C02180,74426,HMDB60015,,,,,,,,,,,,358509,280613,310104,440445,325047,350886,366511,341506,422005,270731,392991,345571,320104,299955,265873,310243,263920,459448,364493,328070,,,,,,,,,,,,377228,300502,392577,613573,444092,,319190,355032,708778,315941,681525,415192,379351,620901,362418,355193,300600,452901,342864,277788
phenylacetylglycine,C05598,68144,HMDB00821,,,,,,,,,,,,157701,,360312,314005,139122,231636,,,520426,145678,204613,269948,215056,284626,189894,200882,,665618,458299,505847,,255790,218708,213168,213702,163157,,,,,,235976,,285662,986981,519866,,272065,232367,1328744,192767,,282664,,900893,322183,,206808,627641,410797,329929
phenylalanine,C00079,6140,HMDB00159,840932160,812396544,826832064,873808064,805883136,817699136,792791040,832291840,803527680,819453568,814325504,830542912,827112128,834668736,806700864,774097536,746824000,836962688,761034688,824526912,764748288,587313856,536615712,610136000,602689856,653734336,537376576,526704896,672268608,599867968,774765184,817195072,730597056,733311680,757810048,747030976,758703616,857783808,859890176,818375232,860787584,825395264,794565312,836014400,827512960,932621952,812419392,730023808,793397440,765969408,987835328,745675328,722685184,574432960,622895040,688847872,670040640,623309376,511432640,670138816,556830016,634948032
phenylalanylhydroxyproline*,,,"HMDB28996,HMDB11176",247952,376529,289359,357900,323039,330910,273292,259465,295057,332763,384492,,210999,,,,,,,,203564,,142117,134566,,98927,,,,,,198135,458256,367465,339917,411102,428259,316689,367810,366906,338150,332578,,249343,148884,,153970,351167,,,,,,,,,,,,,,
phenyllactate (PLA),C05607,3848,HMDB00779,,,,,,,487078,805448,884830,329243,320558,,,91425,,65536,40136,58431,,64780,,17314260,17090228,15495095,11992650,6108870,14716960,17656748,16549351,15897895,5762052,,,,,55639,80612,522024,957962,881705,404199,415513,80139,,105290,73385,90036,,71529,87885,120965,70879,19107154,19646062,16995344,18574368,9987494,16448872,17304572,17425280,16359413,10961830
phenylpyruvate,C00166,997,HMDB00205,693350,2265443,1714883,1911331,1724431,1777776,896055,952779,540447,1086795,436100,346303,575485,384005,584541,256621,1057822,759703,1033619,1013382,752739,1792815,1353457,2209577,1534753,1426312,1321631,1033624,1777406,1836361,1828846,1047444,3610126,1480959,4594833,2271428,3236011,744011,1099155,630295,1293681,561418,390609,615402,460124,829098,481620,3756389,711622,1128127,1162020,937869,3291667,1242598,2115321,1879216,887336,1551500,843255,1494291,1106809,966442
phosphate,C00009,1061,HMDB01429,51982932,51952464,50370264,54008000,52223060,49980196,52526092,56508184,48973968,55812268,47375560,55201856,54241324,55047528,52710512,48694804,50540456,54514616,50847096,46897112,51861564,54085128,52067120,54072616,51374812,57249128,53385832,54484860,61120656,53246408,61714264,53906488,55245200,46829256,48031304,49524968,50367832,56764788,57511088,55597720,57055456,52743020,51143544,58304428,53610392,52914496,51578216,51730084,53102868,52768668,54516568,51936796,53565316,60669644,58055908,61119176,62268124,58857456,51085240,62012156,53358128,61115064
phosphoethanolamine,C00346,1015,HMDB00224,5954028,5995417,6208667,6082569,6036379,6228319,5745853,6207652,5940895,6054582,5974482,1769891,1796885,1909466,1824554,2003969,1692194,1797992,2081064,1990511,2273352,1872883,1956294,2094497,1992647,1975292,1903393,2158035,1971513,1879724,1944189,5920022,5529002,6244990,6216332,6203366,6185312,5925684,6162339,5092908,6138143,6497063,1135620,1222469,1283309,1299095,1445543,6165268,1580684,1564783,1655218,1656794,1190376,1268766,1366798,1171894,1384123,1246056,1271148,1305474,1255134,1543653
phosphothreonine,C12147,1016,,,,,,,,4200017,3021571,5267942,4320143,1802417,,,,,,,,,,,,,,,,,,,,,,,,,,,4667738,3464313,5629484,5495833,1715664,,,,,,,,,,,,,,,,,,,,
pipecolate,C00408,849,HMDB00070,,,,,,,,,,,,,,,,,,,,,,24632940,43419348,32236572,36862216,6327546,22107320,44518076,33562928,32482624,6898678,,,,,,,,,,,,,,,,,,,,,,38540176,65338316,49813340,53414952,18955530,48161224,67300968,57541564,48696452,24581620
proline,C00148,145742,HMDB00162,716851328,1008333376,957031872,809441920,681118144,693437696,707573056,782876224,695906304,719981888,687668416,932104320,1087788544,1046637248,988531200,1018252352,825947712,1057303232,1416969216,903875840,1067778944,1161612544,1225022720,1417495424,990323776,1439060352,1043517312,1167346560,1370144000,1522393088,1462411648,695226176,698842688,685930048,820297152,814493120,943520896,791394880,833212480,1018433472,807054976,712990784,930002176,1449104128,1295033344,1127584512,1663376896,611351232,1499072384,1379577088,1333571456,1624267648,1082621696,1383318912,1177121152,1136706816,1304676224,1126351232,1028774144,976567552,1211456896,1398112512
pseudouridine,C02067,15047,HMDB00767,,,,,,,,,,,,83952,65096,98172,114582,95295,70966,90513,86297,110683,86593,127657,114927,104151,103429,107156,106106,64389,101549,91618,105051,,,,,,,,,,,,107157,81880,107056,125894,139415,,83574,106607,219692,130767,137844,117148,137927,132961,142906,129787,102097,139104,139553,129714
pyridoxal,C00250,1050,HMDB01545,1523929,1487455,1540839,1528826,1422727,1416703,1113452,1555420,1373869,1461015,1353298,12086466,12476904,16165124,13836541,12573128,12924396,12944251,12423029,18766136,11970464,10996189,11097622,12420035,11398836,9893464,8765038,10067663,17800140,14724856,16245079,1454482,1339101,1794750,1612450,1621650,1699542,1636865,1508748,1252711,1466904,1537273,13996315,13814438,17777286,28583168,19873782,1449705,14528757,14458245,30770308,12475870,21328614,14221293,14910648,20047640,14070499,13717985,12651164,19402366,14878446,12413457
pyridoxamine,C00534,1052,HMDB01431,,,,,,,,,,,,1551566,1588374,2185496,1603988,1949852,1483392,1862452,2022557,3213623,1407424,1171380,1286194,1807028,1180940,1297312,1016659,1042324,2346069,1569465,1842467,,,,,,,,,,,,1806996,2033511,2393508,4604814,2779534,,1690160,1877459,3470119,1668087,2864434,1697035,2128787,2840528,1883831,1696819,1517874,2923190,1727490,1406622
pyridoxate,C00847,6723,HMDB00017,,,,,,,,,,,,41732,54474,59606,30895,,,112169,87374,50843,,59751,52006,64847,59177,69298,63343,60595,91956,69249,65242,,,,,,,,,,,,,82868,77332,95254,95522,,74710,71670,120035,120714,117988,137507,70714,110249,90632,,72860,102477,69524,70409
pyridoxine (Vitamin B6),C00314,1054,HMDB02075,19905524,19776522,17541096,19797014,18834628,19606938,19004916,19740242,18649888,18749100,19318736,22445086,19363584,24008988,21379396,17934828,22550434,20621648,19345528,33275666,17276398,30203124,19539314,21312120,20088574,19652498,21740836,17398660,36389788,32151284,28552224,18617094,16101271,16510413,18024020,16566380,18809820,20737746,20559330,20041884,21796050,18861956,20266516,16119055,22570220,48165864,27076454,16993734,16811240,18450752,61959752,13754884,,18873420,24138940,41606496,25497028,25029348,14550907,40295408,19931588,16335774
pyroglutamine*,,134508,,26300452,25412608,31517570,25666356,28059422,29187588,22164584,28745568,27237916,26510904,27030596,22350706,25362728,28914698,23878496,23540900,21156460,27405010,28743056,25463746,21652884,19717988,22601816,26562202,23717664,21184008,18038594,23405148,24450648,21713220,21759560,29945080,26825490,35292460,29974780,28141558,29752174,25570276,30028576,28415060,30670678,27991930,24490254,26872260,27484144,24815560,26324332,25424676,25049452,28067852,26528422,24851616,21071266,24833176,25146808,23354972,23394454,22116984,24022508,23206680,24898004,22348526
pyruvate,C00022,1060,HMDB00243,96214720,88841416,100123936,87284848,87876720,86201192,87911776,83552912,88681936,85366856,91147784,70917784,69374384,71690224,69193184,59835336,68722632,79072960,69240720,75657376,66494316,103236944,82715128,87083296,93945736,76234288,93400320,83193872,60283860,97502432,78373224,87408688,95992096,82079216,89713160,85358104,92208224,87740360,85688000,92559992,94303064,84402944,69687608,65137292,69439128,85879264,64094144,90487080,59143260,61250100,65749132,58929176,92685528,81152200,82343848,85530712,55327208,87901600,67536952,78472192,78190888,76286296
ribitol,C00474,6912,HMDB00508,,1065800,,1318002,,1987181,,,,,,367224,,401236,,351852,3753654,,7411544,,3438148,455668,,606503,,335082,465345,,669358,,3210646,,165055216,1326091,187292624,1091287,188279888,123961,,,,,508202,,438033,,566033,192604848,428267,70883432,428425,79957552,786963,,565055,,466474,622520,,759856,,4998843
riboflavin (Vitamin B2),C00255,493570,HMDB00244,45035,46948,57686,52888,50771,49340,50892,49155,61024,41928,40299,56052,59336,65816,55723,51311,66183,58617,60607,61466,55646,,,,,,,,,,,49240,65932,71391,65293,65238,72960,52751,45568,38795,44738,42293,47541,52013,60315,80913,60859,74548,71594,79106,104884,57357,,,,,,,,,,
ribonate,C01685,5460677,HMDB00867,,,,,,,252147,,219284,,,5165218,5108799,5245868,4707307,5205771,4436817,6058746,6243795,7085377,5633210,4282482,5225819,5485486,4901475,5605326,4284900,4291229,4442977,4103539,6236457,,727584,1102287,759783,618343,705515,236620,,222421,2221371,522213,6323300,7784194,6845908,9131422,7574316,936733,6683525,8062279,6243444,8551356,5690542,5811566,5970829,6413096,4620198,5811551,4487759,6049783,6203440,7565601
S-1-pyrroline-5-carboxylate,C04322,1196,HMDB01301,281584,355914,397203,527381,355005,,354599,470515,309376,238480,211748,1093812,1292027,1117218,1214974,1782235,439054,1257342,1176809,385204,1852069,,629006,361558,575395,936010,,710406,413194,616456,1297343,235425,,433498,,,347282,284414,534320,,454758,397811,1074244,1517904,857473,1293879,1843489,350841,1216215,604421,1506346,1459279,217855,627319,422198,581906,627687,565565,632224,,610431,743960
sedoheptulose,,5459879,HMDB03219,,,,,,,,,180901,,,,,,,,,,,262233,,1544091,1780083,1442249,1185161,1080494,1558523,1640997,1097120,1501454,1333515,,,,,,,,,,,,,214842,781365,,,,,,309851,534977,1967002,1442249,1688459,1619153,1054368,1747631,1414699,1504084,1470263,1555390
serine,C00065,5951,HMDB00187,559144832,543970688,554687488,585619264,539928512,533764448,489244288,558057600,506663104,538131328,520848128,507776896,529839936,497204256,489728864,472625824,451894304,522414112,469749536,458430240,472554624,492722912,450740384,476313952,461573216,448623232,427475456,475953376,505451584,458859392,472687264,519062080,500880256,476135712,500157408,482684544,526496320,558425920,539704576,548487040,553235776,551955072,486508096,512437760,492405760,503243584,464932224,465420064,497886112,448922304,464932032,436198176,394082464,494355168,503723232,484361216,476248992,473704672,448743936,480774144,434807360,460977760
succinate,C00042,1110,HMDB00254,2225963,2555455,6429609,7096360,3955247,14153759,2013211,5784347,18091580,7853160,9517071,60266088,13165176,41697852,6107377,72499480,11094896,26774460,48835596,28229430,3787027,7568484,66893204,115049144,66770628,3142248,6197878,66336784,9813777,70823840,104647592,2700982,34466472,275696832,53362632,262857792,752624768,26846244,5619408,979593,7903355,12636217,68743592,15700085,8024757,16083129,6602168,325973248,127228512,41306484,139741200,75865192,234778896,69587048,105482104,81097056,4352026,68558776,66731032,28157644,79465440,125669200
sulfate*,C00059,1118,HMDB01448,875608,770783,938013,836945,886319,718308,557785,816270,781553,727460,780178,1597611,1577950,2017509,1638561,1817316,1674217,1794368,1688528,2466818,1595992,2023713,1764747,1802963,1689191,1463050,1400335,1535277,2456439,2247408,1969292,839367,687168,813242,641495,747890,820741,789604,822004,582537,865223,667205,1909091,1615653,2064934,3393141,2667938,762059,1761894,1636344,3852201,1524330,3811101,1871998,2298828,3103712,1944576,2089366,1567769,2709838,1867461,1537297
taurine,C00245,1123,HMDB00251,,,,,,,,,,,,8189454,4350882,6506203,7379859,6097731,8067788,5659403,7688311,8435335,5424076,13666153,8697787,12250293,12912142,7849556,12834348,6928685,12496596,13291392,8279515,,,,,,,,,,,,8717295,5576143,8591159,9120816,6100195,163893,7718594,11490134,12668019,8899291,16193476,8532434,13597374,14034037,9684803,15249552,8418348,14430997,13615916,9534862
thiamin (Vitamin B1),C00378,1130,HMDB00235,5450723,5467420,5190324,6037012,4351083,6065235,5682367,5781203,5944932,5583908,5944492,8633269,8172495,9772333,7763826,7346490,6948658,7821139,7409740,8338679,6980896,10829908,7581476,10137256,8886883,9546443,8490958,7960077,12751704,10057911,10307955,4696863,1236483,875713,1411408,1064445,1444708,6608892,6121260,5812492,6487047,5708934,8051370,8925583,9723894,12979441,10581672,1205275,5571126,5843240,10019871,5154378,14432061,9561159,11135377,12856155,11494199,10594670,8268063,11487808,7965428,7734571
thioproline,,93176,,2346225,4459584,3209391,4646494,4029184,3683009,3364508,3453327,3998172,3990519,3067889,4214285,3623981,3719324,3677347,3503179,3616142,4028809,8449440,4698316,3396470,8586390,19568928,10946592,10443813,5346674,7965005,12104797,10503662,9038340,7210515,2582545,4267893,4244287,4721032,5273214,5257929,4729993,4416522,4793166,5193352,3541551,4448957,4981828,3888181,3974315,5133996,4522586,9033427,6284059,9830365,9389657,10992507,11583773,9343295,10195098,13199951,11023479,15236447,10146049,13463386,13185496
threonate,C01620,151152,HMDB00943,,,,,,,1118699,1227843,,1650811,468587,,645786,571855,1324801,2018525,2692407,3410632,2904228,6136802,2394376,3262311,1929281,3052749,2262961,2738998,2187850,2141959,2623992,2810411,2644231,,156094,,,,306346,941572,,774753,1940532,,1865603,4639135,3967366,6484621,4774064,331023,837240,2963768,6887498,2327521,2513990,2675924,3214888,4314123,2705237,3036262,2513990,3339395,2947891,2302852
threonine,C00188,6288,HMDB00167,293915392,286464928,284622624,306996000,279023456,285271232,267557520,293365440,286513536,288247872,274193024,312664192,305722400,322965728,301426688,284238240,276323360,317707840,286637632,325070944,281405216,194636176,181639216,199632304,202547856,222608000,164577936,179633936,229926208,193673488,270042432,282748256,243619392,233445104,253957824,243974864,255606800,305610304,298967168,298279904,313827840,294278496,295476672,305417728,318651616,402083168,326040960,240360048,284958528,272493504,413331648,258514032,244450560,202397440,218019584,238505312,209292624,207674576,182228960,225558864,190243472,200575344
thymidine,C00214,5789,HMDB00273,1399899,1357322,1466092,1272562,1429217,1321757,1393013,1203885,1572355,1217375,1023260,1552963,1311566,1707367,1456889,1593140,1458803,1459565,1590612,1578051,1890246,1229503,958302,1170752,1031068,1202418,1167564,893675,1293470,1025163,1027726,1360556,1749015,1494494,1791528,1529292,1450526,1310552,1233400,1331470,1342243,989359,1395285,1346549,1495154,1524701,1850033,1734316,1459390,1685920,1686099,1892415,737526,848011,982745,912836,927639,850434,776583,958546,905589,931624
thymine,C00178,1135,HMDB00262,,190076,,224608,,255524,179321,85895,143020,32848,359059,101163,,134748,34028,231649,136955,,153302,,97088,400880,238803,432345,254013,263432,315462,210871,431267,295981,412514,,92151,,146140,,237037,225066,104103,125582,35112,439468,210725,,130601,,103260,128303,,117726,59252,114304,549197,333205,644352,483157,393382,503475,340553,640520,461978,540165
trans-4-hydroxyproline,C01157,5810,HMDB00725,,454499,411140,,,,179096,,,,,7332659,5673019,7956332,6594633,5924311,6237880,7622742,7820891,9274771,5285582,8858310,6811962,8668332,8861716,4164814,6222541,6340209,11973468,10878961,8242750,,573057,672800,601275,591921,922913,,,,396298,,7778075,6915097,8585410,12961442,9908042,966942,8203729,8235450,17558272,6170281,17080012,8202584,10257542,14940446,8347795,10606688,7665686,11874377,7884402,6380938
trimethylamine N-oxide,C01104,1145,HMDB00925,,141469,145949,121926,,129469,,,130951,105870,,,114307,166840,,,,145699,127834,180101,119965,153739,,202970,215783,158947,182687,,165587,118472,223386,,,155290,,117701,75247,110043,,,161808,,,190448,,183623,,,110399,171681,,134152,,131234,191556,162557,162353,175294,,105963,171370,154020
tryptophan,C00078,6305,HMDB00929,633872384,668073408,643701184,669253888,591625984,638979840,592824128,655915008,612074816,630811584,611412288,620649536,631937920,641343936,605260480,583489344,558211712,650851072,611070656,606843264,556988864,598285760,581307776,641700224,616618304,521375488,574344704,608617024,602858304,613617280,568152384,602462656,536792544,580651648,602615424,588702080,606512320,647541312,617360256,610776064,661960832,609891264,606034432,657532672,610175744,638365056,598254592,561990144,636399104,597049024,602992064,576892224,565803904,643324608,629101120,628263232,600993216,636639360,599737344,578181568,544082368,594071808
tyrosine,C00082,6057,HMDB00158,209631712,227376144,218690144,227289488,195741952,211372816,187768496,215641104,205795760,223665792,195879920,209795280,246957296,211829696,196573536,199229616,187784192,237170208,221278320,210768992,193375248,131808432,52013208,100646096,90877896,131315696,81992056,53191944,104391544,86631312,154585152,201567968,219005904,204963328,222712096,211847488,250225120,217966000,213244864,267988144,228688336,210218272,215576464,209669040,217402272,248520832,219089760,207360592,249681504,229874528,272441216,200726592,143241296,63486416,133978992,113345696,112808816,109254120,63355836,117100536,80494368,103045952
uracil,C00106,1174,HMDB00300,,,,,,,,,,,,1022388,313195,1009266,412716,1150872,759948,410792,1012179,615243,978810,2870659,2101075,3925696,1680142,546194,2315712,1810972,4607480,1466737,623646,,,,,,,,,,,,988129,324482,1088424,724622,1193379,,383454,1130311,866357,1324679,7019711,4074653,7459286,4109997,1166547,5780632,3554190,9999962,4923360,2915995
urate,C00366,1175,HMDB00289,,,,,,,,,,,,439067,241154,363748,424751,214484,,298555,274293,535494,131734,,209679,246108,196483,224777,135991,187279,359073,341945,321744,,645511,,,,,,,,,,377318,410822,463746,771669,366417,,372396,254191,963155,250010,328800,301703,271477,461756,282229,183111,217805,376578,291391,183592
uridine,C00299,6029,HMDB00296,,,,,,,398116,224240,603210,306544,367185,585738,782915,851283,959670,779250,550422,974474,702926,1086838,1011125,4429048,3491879,3736590,4730573,2907302,3726468,3730303,4471543,4096220,2645978,,,,,,,445208,288184,501674,337472,413543,545244,954542,814001,1309353,1240619,,995549,1321055,1019903,1053370,4377899,4487494,4364533,5322276,3887428,4146260,4113050,4550769,4387548,3325268
valine,C00183,6287,HMDB00883,909124992,852309760,897280960,1013365568,903201280,922978048,876498880,909987200,885157120,877598016,853628800,912064064,845059648,891469440,839491456,754263808,773626368,843152640,759206848,846840384,825468544,722312768,717711616,755505600,761460544,759780160,702206080,711704128,883648000,751147776,936161728,855791488,868442176,870332672,947349632,904020544,883599360,924503808,987777088,850254336,954305536,938664832,816444608,893383360,851356224,952773696,824813696,861870656,857847488,781976320,999740544,756932736,830679360,839509376,769588672,822359232,861987968,776960832,723546368,828394880,754274880,814918912
xanthine,C00385,1188,HMDB00292,,,,72509,,458964,,,101352,1232811,93598144,54812992,74425720,57912788,87911488,84655536,67008464,69487488,75238616,88523992,9983309,10950294,11091927,9665074,21426728,6514815,8066004,10214910,7833849,23149364,,2444292,2651872,577861,1387878,2057871,882304,,,124146,1464155,117901232,72891296,82698984,83275664,93300576,2271966,80943896,93282392,93460848,120492136,37990520,27615300,29090668,27197536,13771495,27197536,21291056,40447860,31054680,37701216,
