,KEGG,PUBCHEM,HMDB,Blank_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Blank_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h
3-sulfo-L-alanine,C00506,72886,HMDB02757,309328,386181,259624,,230239,326187,251825,402817,333392,291369,216744,,,,,,,,,,,,,,,,,,,,,275152,289049,339717,338658,490521,333750,313203,,213527,297372,460512,,,,,,,,,,,,,,,,,,,,
3-ureidopropionate,C02642,111,HMDB00026,,,,,,,,,,,,531882,819405,900078,658605,483364,476841,1038854,594032,977570,410969,153686,379798,234444,,143806,,336623,515913,257744,413554,,,,,,,,,,,,610657,933892,1331041,1774021,1187113,,908052,539437,1787220,393913,803640,537860,731711,788257,234887,294665,382052,537698,335359,138938
4-acetamidobutanoate,C02946,18189,HMDB03681,,,,,,,,,,,,,493795,,345576,472281,406907,423843,358678,437776,352226,771946,286613,277877,460466,436509,272432,294982,809117,900346,697532,,342833,200760,534776,,,,,,,,489686,633052,844150,1096307,663030,319436,548689,444628,699362,483613,,326787,669933,980284,636945,391128,360764,732647,531381,610273
4-guanidinobutanoate,C01035,500,HMDB03464,1987065,2198289,2051642,1954354,2295712,2181420,2200569,2138298,1961862,2098128,1979167,2061741,2408296,2539689,2556031,2318564,2117774,2448936,2398177,2508209,2232036,2300362,2284497,2671167,2534560,2227646,2183782,2438704,2919759,2578770,3316682,1987519,2423613,2390399,2510097,2320388,1931734,1915178,2671247,2198994,2282351,2137148,1980567,2497839,2697440,3120067,2362941,2187639,2581242,2529022,2926198,2375083,2511570,3263121,2811576,2819888,3020439,2715898,2551518,3002288,2800291,2934720
4-hydroxyphenylpyruvate,C01179,979,HMDB00707,,267497,188776,231372,281659,363060,252813,195626,247762,146897,367840,188131,191414,175241,245585,147598,236358,193259,401585,205529,194387,225981,236749,245976,361671,354477,135822,198582,310535,812898,304118,,452355,470077,535503,561611,394685,258042,203164,224281,165839,231993,176760,232130,283863,277457,206636,358002,337435,304514,361803,170155,419971,338159,213043,453391,144883,216315,168128,211510,292228,149218
4-imidazoleacetate,C02835,96215,HMDB02024,214492,124270,,214744,242180,107430,,,243968,242078,,2652682,2963789,1903496,2529251,2356573,2023492,2812364,1824541,2225341,2373155,2037762,3278144,2660452,2706231,2166311,2151397,3037404,2033732,2164469,2926046,263890,396067,255604,335472,310707,135774,152310,,,,176247,2713612,3543969,2010317,2504366,2552212,,3961739,2534642,2223997,3439459,2159831,3660226,2684068,2567684,2925137,3142132,3628964,2299866,2969764,3602553
4-methyl-2-oxopentanoate,C00233,70,HMDB00695,148918,666026,749520,747206,661837,488481,409367,273152,344558,223670,356782,7043087,8385501,6739385,9494468,6935728,6591536,9374414,6640353,8400118,7735001,2785729,2301168,2805474,2996846,4165878,2353930,2369850,2926070,3211464,3734331,154662,864077,738852,1049276,763675,605817,413469,263630,443325,255491,372691,7720066,11041508,7757865,9594749,8475105,915196,10498191,7495555,9609971,7849005,3320424,2855595,2130220,3843328,2174215,2317089,1806650,1773064,2220894,1616729
4-methylthio-2-oxobutanoate,C01180,473,HMDB01553,,,28591,,22560,,17166,,,,,,,,,,,,,,,37739,29338,19829,55396,68854,37036,36064,28995,39374,48569,,62814,159663,59234,170901,57495,,,17905,,,,,,,,68777,41588,18940,35765,,,,,37036,26022,18107,,,,
5-methylthioadenosine (MTA),C00170,439176,HMDB01173,,1684541,2170119,1886707,2101001,1458630,147732,,,,219895,25932838,28130508,18084856,21473092,22890998,19625132,30875918,18608252,19109864,21936528,225322,307212,270354,394738,202910,192772,191910,203300,276340,270767,,6330593,7118019,7034127,7483633,7846378,196424,,,202306,,27763116,30980304,17269518,21640904,23573772,7031961,26088680,16938674,20642416,22498692,184264,233706,286144,211401,325441,,126159,240953,187412,191790
5-methyluridine (ribothymidine),,445408,HMDB00884,,,,,,,,,,,,43053,45903,58720,51383,41617,37956,46941,,62841,53111,144688,98638,79545,89179,79040,119104,91756,104097,95263,73138,,,,,,,,,,,,,58921,,63690,65667,,53524,,72127,62524,112259,101739,116526,105135,115413,121431,86963,116790,98299,108481
5-oxoproline,C01879,7405,HMDB00267,288974400,261230768,320279776,293147008,244956320,286203840,226096864,299472000,277398880,275675808,277065312,245186432,256195840,333612128,248492208,270102592,225013376,271284576,335668832,249721088,257741024,286885504,247704368,322309184,274530784,273294240,267605392,278933920,329534208,287755072,288232224,290822400,260919744,298814528,296184896,264538624,293628864,253178832,281897248,266566896,302478016,286702368,247876016,264004416,324921952,281966752,295321056,263772448,301090752,324082304,268704224,276262624,246444384,289414848,348785120,312320288,283432224,261960080,287066208,314996192,265682240,284346880
7-methylguanine,C02242,11361,HMDB00897,,,,,,,,,,,,1069546,1271921,1224226,1214756,1256143,992942,1394502,1107801,981366,1087701,2400666,1908186,2178112,2130930,1479672,1836545,1831995,2381046,1947954,1759168,,643012,705973,602432,746735,801528,,,,,,1543535,1474421,1461505,1711215,1392657,552396,2365370,2460552,2608724,2026734,1999907,2097713,2869786,2670342,2539281,2933623,2216952,2967267,2466917,2849446
acetylcarnitine (C2),C02571,1,HMDB00201,,,,,,,,,,,,5309908,4978231,6764389,8223685,9118863,3828934,6478324,6415657,6810104,6469978,1239058,1598314,3456164,3372382,2582954,788614,1195647,3625251,2640538,5628101,,,,,,,,,,,,5371276,7290056,8441432,8775900,9365413,,4341197,5226557,9033602,5886210,2775331,4589740,4993111,4960294,2153470,2028029,1626710,5108246,3204142,2335836
aconitate [cis or trans],,,,,89810,41842,94313,25479,98202,80706,,95641,,120977,5112614,5019811,5849434,5850814,5019744,4790932,5805881,5614103,5528550,5311510,3945685,3266667,2919466,2580320,5126076,3807489,3052060,2456947,2766313,4842565,,111635,65685,108453,57598,210046,85733,16908,92723,,89566,6362093,6656994,6462743,6892642,5953632,132540,6584503,6478878,6874015,6218478,2688381,3288129,2480748,2677074,4942982,3321294,3109065,1914506,3120380,4583370
adenine,C00147,190,HMDB00034,3039847936,2930873856,2956249600,3089500416,2887832576,2929353472,2477138944,2820594176,2581419264,2679438848,2863270144,2603561216,2655027968,2727919360,2630817792,2478640128,2456607744,2688912640,2527043072,2514004480,2466517760,2155606784,2267379456,2278554624,2318837504,2155369216,2074796032,2336775680,2327953920,2180499712,2496985600,2936336128,2591670272,2662722816,2655330304,2620487680,2763655168,2755316480,2742899712,2541391104,2811941888,2970668288,2538819584,2612753920,2499938816,2635457024,2393650176,2560192000,2579003392,2347585280,2568432640,2366304256,2047744512,2445380608,2250877440,2244148736,2403806464,2244426496,2277841152,2227686144,2135910272,2360317440
adenosine,C00212,60961,HMDB00050,,,,,,,7835414,4549871,6107358,16829492,1356219,,124791,,,263313,,673805,504997,310103,383123,,135725,,,,,,,,,,138099,,,,,9409881,4163993,7882937,17660184,1591369,,126119,,,,,2959248,2218004,1803664,1602223,,,,,,,,182767,,267516
adenosine 5'-monophosphate (AMP),C00020,6083,HMDB00045,,,,,,,358483,1161588,1423441,469123,607952,,,,,,74979,,,,,77669,,600544,775769,,,,830734,578042,250261,,236283,419616,345872,429492,307343,470467,1426114,1391769,541400,704421,,,,,,405237,1380961,1269503,923809,1228626,,,549059,,216990,,,880210,200433,
alanine,C00041,5950,HMDB00161,167806448,174081536,171322896,179635856,157288608,180339264,157262944,157410384,162928128,155998144,164461056,765549952,778805696,869733824,823800768,872018752,706702272,853894208,839050944,869818048,790517824,629593408,818824320,873090560,848023168,779264256,653952960,743461824,947299200,772725184,938406848,172425808,198503568,214792896,251613728,249102736,234503888,163420736,156764128,145465824,173606208,165034480,845114304,1019796096,940476800,1056398208,991883072,227927456,973300416,911652416,1150867456,1016067776,914157056,1047700864,962997184,1062235904,1034269824,926396864,910026560,941463744,921864704,935943424
allantoin,C02350,204,HMDB00462,,,,,,,,,,,,1035666,763077,1249442,895559,1146127,1257086,1385491,1134695,2126927,1063433,1479002,1081208,1043766,1201629,943275,906704,600291,2887043,1944527,1333650,,,,,,,,,,,,1312307,969197,2057567,3804828,2277638,,578447,1129838,2476667,975482,4230268,1427426,1415854,3452756,2067624,1277176,996203,2623041,1312544,1001683
alpha-hydroxyisocaproate,C03264,83697,HMDB00746,,,,,,,1185019,1585868,1621627,873586,549355,140432,127153,177203,153924,158338,153334,137966,125599,152222,145760,45300392,44263408,40559152,44031348,20653854,39211628,51868088,37995320,45169604,21843188,,,,,,,1358527,1854420,1479760,1131186,618539,132858,219316,237809,225615,239221,,222644,243305,230878,246947,43692652,56721144,38481324,58695052,33453888,43325032,49207440,42692120,50508428,36837880
alpha-hydroxyisovalerate,,99823,HMDB00407,,,,,,,1799061,1193164,1716418,1647981,623483,2297978,4326749,4354119,4552764,5306795,3163908,5429387,4844200,4819844,7045046,38510168,38356916,43164632,43836212,20034754,32348828,40263180,37431108,45956572,20885242,,,,82001,,,1873313,1488216,1992024,1449250,646397,3099218,5588019,6341147,7194674,9567588,,7322081,7471709,10042938,9101161,59806012,52293088,57506704,60046644,25310810,53330988,53098176,67549408,57685996,34434204
alpha-ketoglutaramate*,,,,30461302,27936048,30600708,26507046,37103356,26947362,37561668,36708044,31609634,39621000,26041686,21705570,20011828,19104696,24701308,17879394,21162676,19289764,18056678,23962644,19784270,32448432,29820180,27429832,31801928,28760740,33676436,29745508,19883922,25502004,27817678,35264024,36743256,41204124,29822278,38769196,33165972,34656904,37259036,34691528,39947588,33190106,19006120,21047710,21681142,21072378,19732736,36147780,19326214,20514630,19314396,21779064,41670908,22844106,28759932,22249692,20623422,30282946,20428410,30982614,24277328,26853862
alpha-ketoglutarate,C00026,51,HMDB00208,2456860,7158741,10547898,4540421,8205844,4754879,7207360,8579939,9274539,7872427,3104365,75146176,68741000,62696100,33327114,58410316,66110068,78501448,63791832,70049880,58613068,94012232,96339344,93695968,82394832,76459224,91384520,101608528,65502844,88197728,84379920,1533228,58218492,59217552,75496184,66415284,69405376,11910201,10330701,9461066,9946671,5237240,97132416,82236720,72165368,61571088,72056912,69385504,129159216,112507464,114053352,108868136,117725952,127666272,96376752,108599784,68550632,116763960,101698008,96351240,101246352,107326224
